"code";"name";"avg_salary"
"200000";"podlaskie";4929
"200100";"augustowski";5009
"200200";"bialostocki";4456
"200300";"bielski";5547
"200400";"grajewski";4970
"200500";"hajnowski";5165
"200600";"kolnenski";4475
"200700";"lomzynski";5174
"200800";"moniecki";4601
"200900";"sejnenski";4486
"201000";"siemiatycki";4473
"201100";"sokolski";4528
"201200";"suwalski";4201
"201300";"wysokomazowiecki";5071
"201400";"zambrowski";4775
"206100";"bialystok";5126
"206200";"lomza";4872
"206300";"suwalki";4562
"220000";"pomorskie";5484
"220100";"bytowski";4905
"220200";"chojnicki";4395
"220300";"czluchowski";4569
"220400";"gdanski";5014
"220500";"kartuski";4508
"220600";"koscierski";4328
"220700";"kwidzynski";4824
"220800";"leborski";4800
"220900";"malborski";4559
"221000";"nowodworski";4735
"221100";"pucki";4741
"221200";"slupski";4696
"221300";"starogardzki";4969
"221400";"tczewski";5031
"221500";"wejherowski";4620
"221600";"sztumski";4719
"226100";"gdansk";6490
"226200";"gdynia";5848
"226300";"slupsk";4841
"226400";"sopot";6529
"240000";"slaskie";5450
"240100";"bedzinski";4643
"240200";"bielski";4819
"240300";"cieszynski";4660
"240400";"czestochowski";4603
"240500";"gliwicki";4696
"240600";"klobucki";4087
"240700";"lubliniecki";4660
"240800";"mikolowski";5002
"240900";"myszkowski";4532
"241000";"pszczynski";4674
"241100";"raciborski";5199
"241200";"rybnicki";4686
"241300";"tarnogorski";4858
"241400";"bierunsko-ledzinski";4649
"241500";"wodzislawski";4323
"241600";"zawiercianski";5001
"241700";"zywiecki";5011
"246100";"bielsko-biala";5321
"246200";"bytom";5117
"246300";"chorzow";4910
"246400";"czestochowa";4875
"246500";"dabrowagornicza";5811
"246600";"gliwice";6164
"246700";"jastrzebie-zdroj";8377
"246800";"jaworzno";5976
"246900";"katowice";6525
"247000";"myslowice";4763
"247100";"piekaryslaskie";5375
"247200";"rudaslaska";4816
"247300";"rybnik";4987
"247400";"siemianowiceslaskie";5005
"247500";"sosnowiec";5008
"247600";"swietochlowice";4609
"247700";"tychy";5269
"247800";"zabrze";5232
"247900";"zory";4781
"260000";"swietokrzyskie";4800
"260100";"buski";4375
"260200";"jedrzejowski";4969
"260300";"kazimierski";4235
"260400";"kielecki";4355
"260500";"konecki";4481
"260600";"opatowski";4269
"260700";"ostrowiecki";4448
"260800";"pinczowski";4445
"260900";"sandomierski";4966
"261000";"skarzyski";4758
"261100";"starachowicki";4690
"261200";"staszowski";4825
"261300";"wloszczowski";4722
"266100";"kielce";5218
"280000";"warminsko-mazurskie";4709
"280100";"bartoszycki";4589
"280200";"braniewski";4460
"280300";"dzialdowski";4145
"280400";"elblaski";4268
"280500";"elcki";4364
"280600";"gizycki";4515
"280700";"ilawski";4219
"280800";"ketrzynski";4560
"280900";"lidzbarski";4356
"281000";"mragowski";4311
"281100";"nidzicki";4207
"281200";"nowomiejski";3971
"281300";"olecki";4438
"281400";"olsztynski";4823
"281500";"ostrodzki";4440
"281600";"piski";4633
"281700";"szczycienski";4523
"281800";"goldapski";4227
"281900";"wegorzewski";4314
"286100";"elblag";4952
"286200";"olsztyn";5438
"300000";"wielkopolskie";4985
"300100";"chodzieski";4550
"300200";"czarnkowsko-trzcianecki";4869
"300300";"gnieznienski";4658
"300400";"gostynski";4698
"300500";"grodziski";4433
"300600";"jarocinski";4193
"300700";"kaliski";4195
"300800";"kepinski";3872
"300900";"kolski";4895
"301000";"koninski";4184
"301100";"koscianski";4582
"301200";"krotoszynski";4020
"301300";"leszczynski";4953
"301400";"miedzychodzki";4519
"301500";"nowotomyski";4807
"301600";"obornicki";4854
"301700";"ostrowski";4542
"301800";"ostrzeszowski";4488
"301900";"pilski";4928
"302000";"pleszewski";4471
"302100";"poznanski";4776
"302200";"rawicki";4357
"302300";"slupecki";4690
"302400";"szamotulski";5274
"302500";"sredzki";5004
"302600";"sremski";4480
"302700";"turecki";4266
"302800";"wagrowiecki";4491
"302900";"wolsztynski";4489
"303000";"wrzesinski";4779
"303100";"zlotowski";4041
"306100";"kalisz";4718
"306200";"konin";4858
"306300";"leszno";4824
"306400";"poznan";6104
"320000";"zachodniopomorskie";5099
"320100";"bialogardzki";4672
"320200";"choszczenski";4599
"320300";"drawski";4416
"320400";"goleniowski";5102
"320500";"gryficki";4388
"320600";"gryfinski";4898
"320700";"kamienski";4304
"320800";"kolobrzeski";4575
"320900";"koszalinski";4616
"321000";"mysliborski";4503
"321100";"policki";5535
"321200";"pyrzycki";4428
"321300";"slawienski";4350
"321400";"stargardzki";4750
"321500";"szczecinecki";4827
"321600";"swidwinski";4339
"321700";"walecki";4678
"321800";"lobeski";4713
"326100";"koszalin";4973
"326200";"szczecin";5695
"326300";"swinoujscie";5517
